actor;status;A0101;A0102;A0107;A0110;A0111;A0112;A0113;A0121;A0122;A0123;G0101;G0103;G0104;G0107;G0108;G0110;G0113;G0116;G0117;G0119;G0125;G0126;G0127;G0401;G0402;G0404;G0405;G0407;G0408;G0410;H0105;H0107
FI053;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI054;respondent;5;5;1;5;2;5;2;5;5;3;5;5;2;5;5;5;5;5;5;5;4;5;4;5;1;5;2;1;5;4;5;5
FI055;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI056;respondent;5;4;1;4;3;2;5;5;4;4;4;5;5;5;5;5;3;4;4;5;3;4;3;4;4;4;4;1;4;5;5;5
FI057;respondent;5;5;1;5;3;4;4;2;2;5;4;2;5;3;4;2;1;4;4;4;3;3;2;4;1;4;3;2;1;2;3;5
FI058;respondent;5;5;1;5;2;4;4;4;5;4;5;5;4;5;5;5;3;4;5;5;2;2;4;5;1;5;2;1;4;5;5;5
FI059;respondent;5;5;1;5;1;5;1;5;4;5;4;4;1;4;5;5;5;4;4;5;5;5;3;5;1;4;1;1;5;5;5;1
FI060;respondent;5;5;1;2;2;4;2;3;3;4;5;5;3;4;5;5;5;5;5;5;3;3;4;5;1;4;2;1;5;5;5;4
FI061;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI062;respondent;1;1;1;4;2;1;2;2;5;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;1;4;2;2;4;5;NA;NA
FI063;respondent;5;5;1;5;2;4;4;4;5;4;5;4;5;4;5;4;4;4;5;5;2;4;5;4;2;4;2;4;4;5;5;5
FI064;respondent;5;5;1;5;2;5;4;4;4;4;4;5;4;3;5;2;4;4;5;5;4;4;2;4;1;4;2;1;4;5;5;5
FI065;respondent;5;5;1;5;2;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;1;5;2;1;5;5;5;5
FI066;respondent;5;5;1;5;2;5;3;4;4;4;5;4;4;4;5;2;3;4;5;5;3;5;2;5;1;5;1;1;5;5;5;5
FI067;respondent;5;5;1;5;1;3;4;2;5;5;4;5;2;1;5;4;5;5;5;5;5;5;1;5;1;5;1;1;5;5;4;4
FI068;respondent;5;5;1;5;1;5;3;4;5;5;4;5;3;2;5;4;4;4;5;5;4;5;2;5;1;5;1;1;5;5;5;5
FI069;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI070;respondent;5;5;1;5;1;5;4;4;4;3;5;5;4;4;5;5;5;5;5;5;3;5;2;4;1;4;1;1;1;4;5;5
FI071;respondent;5;5;1;3;3;3;4;3;3;4;5;5;5;5;5;5;5;4;5;5;2;NA;NA;4;2;4;3;2;4;4;5;5
FI072;respondent;5;5;1;5;1;4;4;4;4;4;5;5;4;4;4;4;5;4;5;5;4;5;4;5;1;5;1;2;4;5;4;4
FI073;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI074;respondent;5;5;1;4;2;4;5;2;3;4;4;2;5;4;4;4;4;1;5;4;1;3;5;3;2;4;2;2;1;3;5;5
FI075;respondent;5;5;1;5;2;2;5;2;2;2;4;4;5;1;5;4;5;4;4;4;2;2;2;4;2;3;1;4;1;2;5;2
FI076;respondent;5;5;1;5;2;4;4;3;4;5;5;5;5;5;5;5;4;5;5;5;4;5;3;4;1;4;3;1;4;4;5;4
FI077;respondent;5;5;1;4;2;1;4;5;4;4;4;5;4;3;2;4;5;5;5;5;2;4;4;5;1;4;2;2;5;5;5;5
FI078;respondent;5;4;1;4;2;4;2;3;4;4;3;4;3;4;4;4;3;3;4;5;4;4;4;3;2;4;3;5;5;5;5;4
FI079;respondent;5;5;1;4;3;3;4;2;4;2;5;3;5;3;4;2;3;1;5;4;3;4;3;4;2;3;3;2;4;4;5;4
FI080;respondent;5;5;1;4;2;4;4;4;4;4;4;4;3;3;5;5;4;5;5;5;3;3;3;5;1;4;1;1;4;5;5;4
FI081;respondent;5;5;1;3;2;3;3;3;3;3;2;4;3;4;4;3;3;4;4;4;3;3;3;3;3;3;3;2;3;3;3;2
FI082;respondent;5;5;1;4;3;3;4;3;3;3;5;2;5;5;5;5;2;1;4;5;1;3;3;3;2;4;3;2;5;5;5;5
FI083;respondent;5;5;1;3;2;3;4;3;3;4;5;3;3;5;5;4;3;5;5;5;4;4;5;3;1;4;3;2;3;5;3;3
FI084;respondent;5;5;1;4;NA;3;4;NA;NA;NA;5;5;5;4;4;5;NA;NA;4;5;2;NA;NA;4;2;4;NA;2;5;5;5;5
FI085;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI086;respondent;5;5;1;4;3;4;3;4;3;3;5;5;4;5;5;5;4;5;5;5;3;3;4;5;1;5;3;3;3;5;5;5
FI087;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI088;respondent;5;5;4;4;4;5;5;4;3;2;5;5;5;5;4;2;5;4;5;5;1;1;4;2;4;2;4;4;2;4;4;5
FI089;respondent;5;5;1;5;2;5;4;4;5;4;4;4;4;4;5;5;4;5;5;5;4;5;4;2;2;5;2;1;4;5;5;4
FI090;respondent;5;5;1;5;1;5;2;5;5;5;3;4;2;4;4;1;5;5;4;5;5;5;4;5;1;5;1;1;5;5;5;3
FI091;respondent;5;5;1;5;2;5;4;5;5;5;5;5;3;4;5;4;5;5;5;5;5;5;2;5;1;5;1;1;4;5;5;4
FI092;respondent;5;5;1;3;3;5;5;3;5;3;5;5;1;3;3;4;5;5;4;4;4;4;3;5;3;5;4;4;4;5;5;4
FI093;respondent;5;5;1;5;1;4;4;5;5;5;4;4;5;5;5;5;5;5;5;5;4;4;4;5;1;5;2;1;4;5;5;5
FI094;respondent;5;5;1;5;2;4;4;3;3;5;4;1;3;4;4;4;5;5;4;4;3;5;4;3;1;4;2;1;5;4;5;3
FI095;respondent;5;5;1;5;1;5;2;5;5;4;5;5;2;5;5;4;5;5;5;5;5;5;1;5;1;5;1;1;5;5;5;5
FI096;respondent;5;5;5;5;4;4;4;5;5;5;5;4;4;5;5;5;5;5;5;5;4;5;5;5;1;5;2;1;5;5;5;5
FI126;respondent;5;5;1;5;2;4;3;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;1;3;3;1;5;5;5;5
