from;to
FI016;FI115
FI016;FI116
FI016;FI117
FI016;FI121
FI017;FI008
FI017;FI009
FI017;FI020
FI017;FI023
FI017;FI027
FI017;FI033
FI017;FI037
FI017;FI061
FI017;FI064
FI017;FI079
FI017;FI086
FI017;FI091
FI017;FI095
FI017;FI096
FI017;FI097
FI017;FI099
FI017;FI100
FI017;FI101
FI017;FI102
FI017;FI104
FI017;FI105
FI018;FI008
FI018;FI009
FI018;FI010
FI018;FI015
FI018;FI016
FI018;FI017
FI018;FI018
FI018;FI021
FI018;FI022
FI018;FI023
FI018;FI027
FI018;FI032
FI018;FI033
FI018;FI035
FI018;FI037
FI018;FI039
FI018;FI043
FI018;FI048
FI018;FI062
FI018;FI065
FI018;FI067
FI018;FI068
FI018;FI070
FI018;FI079
FI018;FI082
FI018;FI085
FI018;FI091
FI018;FI093
FI018;FI095
FI018;FI096
FI018;FI099
FI018;FI100
FI018;FI102
FI018;FI103
FI018;FI106
FI018;FI108
FI018;FI116
FI018;FI117
FI018;FI121
FI019;FI005
FI019;FI006
FI019;FI010
FI019;FI011
FI019;FI013
FI019;FI015
FI019;FI016
FI019;FI017
FI019;FI020
FI019;FI021
FI019;FI023
FI019;FI026
FI019;FI027
FI019;FI033
FI019;FI035
FI019;FI037
FI019;FI039
FI019;FI048
FI019;FI065
FI019;FI067
FI019;FI068
FI019;FI070
FI019;FI079
FI019;FI080
FI019;FI086
FI019;FI087
FI019;FI091
FI019;FI095
FI019;FI096
FI019;FI097
FI019;FI098
FI019;FI099
FI019;FI100
FI019;FI102
FI019;FI103
FI019;FI104
FI019;FI106
FI019;FI108
FI019;FI116
FI019;FI117
FI019;FI121
FI020;FI001
FI020;FI002
FI020;FI005
FI020;FI008
FI020;FI009
FI020;FI010
FI020;FI011
FI020;FI015
FI020;FI016
FI020;FI017
FI020;FI018
FI020;FI019
FI020;FI020
FI020;FI021
FI020;FI022
FI020;FI023
FI020;FI024
FI020;FI026
FI020;FI027
FI020;FI028
FI020;FI030
FI020;FI032
FI020;FI033
FI020;FI036
FI020;FI037
FI020;FI038
FI020;FI039
FI020;FI041
FI020;FI042
FI020;FI044
FI020;FI045
FI020;FI048
FI020;FI050
FI020;FI051
FI020;FI052
FI020;FI054
FI020;FI055
FI020;FI057
FI020;FI061
FI020;FI062
FI020;FI063
FI020;FI064
FI020;FI065
FI020;FI067
FI020;FI070
FI020;FI071
FI020;FI072
FI020;FI073
FI020;FI074
FI020;FI076
FI020;FI078
FI020;FI079
FI020;FI080
FI020;FI081
FI020;FI082
FI020;FI083
FI020;FI085
FI020;FI086
FI020;FI087
FI020;FI089
FI020;FI090
FI020;FI091
FI020;FI093
FI020;FI094
FI020;FI095
FI020;FI096
FI020;FI097
FI020;FI098
FI020;FI099
FI020;FI100
FI020;FI101
FI020;FI102
FI020;FI103
FI020;FI104
FI020;FI105
FI020;FI106
FI020;FI107
FI020;FI108
FI020;FI109
FI020;FI110
FI020;FI111
FI020;FI113
FI020;FI114
FI020;FI115
FI020;FI116
FI020;FI117
FI020;FI118
FI020;FI119
FI020;FI121
FI021;FI005
FI021;FI008
FI021;FI010
FI021;FI015
FI021;FI017
FI021;FI021
FI021;FI023
FI021;FI027
FI021;FI041
FI021;FI063
FI021;FI073
FI021;FI082
FI021;FI088
FI021;FI092
FI021;FI094
FI021;FI095
FI021;FI099
FI021;FI104
FI021;FI106
FI021;FI111
FI021;FI114
FI021;FI118
FI021;FI121
FI022;FI002
FI022;FI004
FI022;FI008
FI022;FI010
FI022;FI011
FI022;FI012
FI022;FI014
FI022;FI015
FI022;FI017
FI022;FI021
FI022;FI023
FI022;FI025
FI022;FI027
FI022;FI030
FI022;FI033
FI022;FI037
FI022;FI038
FI022;FI041
FI022;FI042
FI022;FI043
FI022;FI045
FI022;FI048
FI022;FI049
FI022;FI057
FI022;FI061
FI022;FI063
FI022;FI065
FI022;FI073
FI022;FI079
FI022;FI080
FI022;FI082
FI022;FI086
FI022;FI087
FI022;FI091
FI022;FI095
FI022;FI096
FI022;FI097
FI022;FI099
FI022;FI100
FI022;FI102
FI022;FI103
FI022;FI104
FI022;FI106
FI022;FI111
FI022;FI115
FI022;FI118
FI022;FI120
FI023;FI008
FI023;FI010
FI023;FI011
FI023;FI012
FI023;FI013
FI023;FI020
FI023;FI023
FI023;FI037
FI023;FI043
FI023;FI061
FI023;FI064
FI023;FI070
FI023;FI071
FI023;FI074
FI023;FI075
FI023;FI077
FI023;FI079
FI023;FI086
FI023;FI088
FI023;FI091
FI023;FI096
FI023;FI099
FI023;FI100
FI023;FI102
FI023;FI117
FI023;FI121
FI024;FI001
FI024;FI002
FI024;FI004
FI024;FI005
FI024;FI006
FI024;FI008
FI024;FI009
FI024;FI010
FI024;FI011
FI024;FI012
FI024;FI015
FI024;FI016
FI024;FI017
FI024;FI018
FI024;FI019
FI024;FI020
FI024;FI021
FI024;FI024
FI024;FI025
FI024;FI035
FI024;FI036
FI024;FI037
FI024;FI038
FI024;FI039
FI024;FI041
FI024;FI043
FI024;FI044
FI024;FI046
FI024;FI047
FI024;FI048
FI024;FI050
FI024;FI051
FI024;FI052
FI024;FI055
FI024;FI057
FI024;FI059
FI024;FI060
FI024;FI062
FI024;FI063
FI024;FI064
FI024;FI065
FI024;FI067
FI024;FI069
FI024;FI070
FI024;FI071
FI024;FI073
FI024;FI075
FI024;FI076
FI024;FI080
FI024;FI082
FI024;FI084
FI024;FI085
FI024;FI086
FI024;FI087
FI024;FI090
FI024;FI091
FI024;FI093
FI024;FI094
FI024;FI095
FI024;FI096
FI024;FI097
FI024;FI099
FI024;FI100
FI024;FI102
FI024;FI103
FI024;FI108
FI024;FI114
FI024;FI115
FI024;FI116
FI024;FI117
FI024;FI118
FI024;FI120
FI024;FI121
FI026;FI001
FI026;FI002
FI026;FI003
FI026;FI004
FI026;FI008
FI026;FI009
FI026;FI010
FI026;FI012
FI026;FI015
FI026;FI016
FI026;FI017
FI026;FI018
FI026;FI023
FI026;FI025
FI026;FI026
FI026;FI027
FI026;FI036
FI026;FI037
FI026;FI038
FI026;FI041
FI026;FI043
FI026;FI044
FI026;FI047
FI026;FI048
FI026;FI049
FI026;FI050
FI026;FI051
FI026;FI052
FI026;FI053
FI026;FI055
FI026;FI057
FI026;FI060
FI026;FI061
FI026;FI062
FI026;FI063
FI026;FI064
FI026;FI065
FI026;FI067
FI026;FI073
FI026;FI074
FI026;FI075
FI026;FI077
FI026;FI079
FI026;FI082
FI026;FI084
FI026;FI085
FI026;FI086
FI026;FI087
FI026;FI088
FI026;FI091
FI026;FI094
FI026;FI095
FI026;FI096
FI026;FI097
FI026;FI099
FI026;FI101
FI026;FI102
FI026;FI103
FI026;FI104
FI026;FI105
FI026;FI106
FI026;FI112
FI026;FI114
FI027;FI001
FI027;FI002
FI027;FI004
FI027;FI005
FI027;FI008
FI027;FI009
FI027;FI011
FI027;FI013
FI027;FI018
FI027;FI023
FI027;FI027
FI027;FI028
FI027;FI030
FI027;FI033
FI027;FI035
FI027;FI045
FI027;FI049
FI027;FI055
FI027;FI057
FI027;FI061
FI027;FI062
FI027;FI063
FI027;FI065
FI027;FI067
FI027;FI069
FI027;FI070
FI027;FI074
FI027;FI079
FI027;FI082
FI027;FI084
FI027;FI085
FI027;FI087
FI027;FI094
FI027;FI095
FI027;FI096
FI027;FI097
FI027;FI098
FI027;FI099
FI027;FI100
FI027;FI101
FI027;FI103
FI027;FI112
FI027;FI113
FI027;FI117
FI027;FI121
FI029;FI002
FI029;FI003
FI029;FI004
FI029;FI005
FI029;FI008
FI029;FI009
FI029;FI010
FI029;FI012
FI029;FI013
FI029;FI015
FI029;FI017
FI029;FI020
FI029;FI023
FI029;FI024
FI029;FI025
FI029;FI026
FI029;FI030
FI029;FI033
FI029;FI035
FI029;FI037
FI029;FI038
FI029;FI040
FI029;FI041
FI029;FI043
FI029;FI044
FI029;FI047
FI029;FI048
FI029;FI049
FI029;FI050
FI029;FI051
FI029;FI056
FI029;FI057
FI029;FI060
FI029;FI062
FI029;FI063
FI029;FI064
FI029;FI065
FI029;FI067
FI029;FI068
FI029;FI071
FI029;FI073
FI029;FI074
FI029;FI075
FI029;FI077
FI029;FI079
FI029;FI080
FI029;FI082
FI029;FI084
FI029;FI086
FI029;FI087
FI029;FI088
FI029;FI092
FI029;FI093
FI029;FI094
FI029;FI095
FI029;FI096
FI029;FI097
FI029;FI099
FI029;FI100
FI029;FI101
FI029;FI102
FI029;FI103
FI029;FI104
FI029;FI105
FI029;FI106
FI029;FI107
FI029;FI108
FI029;FI112
FI029;FI113
FI029;FI114
FI029;FI115
FI029;FI116
FI029;FI117
FI029;FI118
FI029;FI119
FI029;FI120
FI029;FI121
FI030;FI003
FI030;FI008
FI030;FI010
FI030;FI015
FI030;FI021
FI030;FI023
FI030;FI027
FI030;FI029
FI030;FI030
FI030;FI033
FI030;FI036
FI030;FI037
FI030;FI038
FI030;FI040
FI030;FI041
FI030;FI042
FI030;FI043
FI030;FI049
FI030;FI050
FI030;FI053
FI030;FI057
FI030;FI058
FI030;FI061
FI030;FI063
FI030;FI064
FI030;FI065
FI030;FI070
FI030;FI073
FI030;FI074
FI030;FI077
FI030;FI079
FI030;FI082
FI030;FI085
FI030;FI087
FI030;FI088
FI030;FI090
FI030;FI091
FI030;FI093
FI030;FI096
FI030;FI097
FI030;FI099
FI030;FI100
FI030;FI101
FI030;FI102
FI030;FI103
FI030;FI104
FI030;FI106
FI030;FI115
FI030;FI119
FI030;FI120
FI031;FI001
FI031;FI003
FI031;FI004
FI031;FI008
FI031;FI009
FI031;FI010
FI031;FI011
FI031;FI013
FI031;FI015
FI031;FI016
FI031;FI017
FI031;FI018
FI031;FI019
FI031;FI020
FI031;FI021
FI031;FI022
FI031;FI023
FI031;FI027
FI031;FI030
FI031;FI031
FI031;FI032
FI031;FI033
FI031;FI035
FI031;FI036
FI031;FI037
FI031;FI041
