from;to
FI060;FI045
FI060;FI056
FI060;FI065
FI060;FI073
FI060;FI093
FI061;FI001
FI061;FI002
FI061;FI003
FI061;FI004
FI061;FI005
FI061;FI006
FI061;FI007
FI061;FI008
FI061;FI009
FI061;FI010
FI061;FI011
FI061;FI012
FI061;FI014
FI061;FI015
FI061;FI016
FI061;FI017
FI061;FI018
FI061;FI019
FI061;FI020
FI061;FI021
FI061;FI022
FI061;FI023
FI061;FI024
FI061;FI025
FI061;FI026
FI061;FI027
FI061;FI028
FI061;FI029
FI061;FI030
FI061;FI032
FI061;FI033
FI061;FI034
FI061;FI035
FI061;FI036
FI061;FI037
FI061;FI038
FI061;FI039
FI061;FI040
FI061;FI041
FI061;FI042
FI061;FI043
FI061;FI044
FI061;FI045
FI061;FI046
FI061;FI047
FI061;FI048
FI061;FI049
FI061;FI050
FI061;FI051
FI061;FI052
FI061;FI053
FI061;FI054
FI061;FI055
FI061;FI056
FI061;FI057
FI061;FI058
FI061;FI059
FI061;FI060
FI061;FI062
FI061;FI063
FI061;FI064
FI061;FI065
FI061;FI067
FI061;FI069
FI061;FI070
FI061;FI071
FI061;FI072
FI061;FI073
FI061;FI074
FI061;FI075
FI061;FI076
FI061;FI077
FI061;FI078
FI061;FI079
FI061;FI080
FI061;FI081
FI061;FI082
FI061;FI083
FI061;FI084
FI061;FI085
FI061;FI086
FI061;FI087
FI061;FI088
FI061;FI089
FI061;FI090
FI061;FI091
FI061;FI092
FI061;FI093
FI061;FI094
FI061;FI095
FI061;FI096
FI061;FI097
FI061;FI099
FI061;FI100
FI061;FI114
FI062;FI001
FI062;FI005
FI062;FI010
FI062;FI011
FI062;FI013
FI062;FI023
FI062;FI027
FI062;FI032
FI062;FI043
FI062;FI045
FI062;FI049
FI062;FI050
FI062;FI062
FI062;FI065
FI062;FI068
FI062;FI070
FI062;FI073
FI062;FI074
FI062;FI080
FI062;FI082
FI062;FI091
FI062;FI093
FI062;FI095
FI062;FI096
FI062;FI099
FI062;FI100
FI063;FI001
FI063;FI032
FI063;FI093
FI063;FI095
FI064;FI003
FI064;FI005
FI064;FI008
FI064;FI010
FI064;FI012
FI064;FI015
FI064;FI016
FI064;FI019
FI064;FI020
FI064;FI023
FI064;FI024
FI064;FI026
FI064;FI027
FI064;FI028
FI064;FI033
FI064;FI035
FI064;FI038
FI064;FI039
FI064;FI040
FI064;FI045
FI064;FI049
FI064;FI053
FI064;FI061
FI064;FI062
FI064;FI071
FI064;FI073
FI064;FI074
FI064;FI075
FI064;FI077
FI064;FI079
FI064;FI086
FI064;FI090
FI064;FI095
FI064;FI096
FI064;FI100
FI064;FI115
FI064;FI116
FI065;FI001
FI065;FI005
FI065;FI006
FI065;FI008
FI065;FI009
FI065;FI010
FI065;FI015
FI065;FI017
FI065;FI018
FI065;FI020
FI065;FI021
FI065;FI022
FI065;FI030
FI065;FI032
FI065;FI033
FI065;FI036
FI065;FI042
FI065;FI045
FI065;FI048
FI065;FI050
FI065;FI051
FI065;FI052
FI065;FI055
FI065;FI056
FI065;FI057
FI065;FI060
FI065;FI062
FI065;FI063
FI065;FI066
FI065;FI067
FI065;FI068
FI065;FI070
FI065;FI072
FI065;FI073
FI065;FI074
FI065;FI078
FI065;FI079
FI065;FI082
FI065;FI085
FI065;FI093
FI065;FI095
FI065;FI096
FI065;FI101
FI065;FI102
FI066;FI001
FI066;FI002
FI066;FI007
FI066;FI011
FI066;FI018
FI066;FI026
FI066;FI027
FI066;FI035
FI066;FI038
FI066;FI039
FI066;FI045
FI066;FI054
FI066;FI059
FI066;FI065
FI066;FI067
FI066;FI068
FI066;FI070
FI066;FI073
FI066;FI079
FI066;FI080
FI066;FI083
FI066;FI089
FI066;FI091
FI066;FI093
FI066;FI095
FI066;FI096
FI067;FI007
FI067;FI010
FI067;FI016
FI067;FI017
FI067;FI024
FI067;FI026
FI067;FI030
FI067;FI034
